id_index,eye_state,datetime,year,month,day,hour,minute,week,id_user
A00000_close_2021Y05M11D14H37m,close,5/11/2021 14:37,2021,5,11,14,37,tue,A00000
A00000_close_2021Y05M13D11H01m,close,5/13/2021 11:01,2021,5,13,11,1,thu,A00000
A00000_close_2021Y05M13D14H45m,close,5/13/2021 14:45,2021,5,13,14,45,thu,A00000
A00000_close_2021Y05M13D18H24m,close,5/13/2021 18:24,2021,5,13,18,24,thu,A00000
A00000_close_2021Y05M14D14H15m,close,5/14/2021 14:15,2021,5,14,14,15,fri,A00000
A00000_close_2021Y05M14D18H24m,close,5/14/2021 18:24,2021,5,14,18,24,fri,A00000
A00000_close_2021Y05M17D14H52m,close,5/17/2021 14:52,2021,5,17,14,52,mon,A00000
A00000_close_2021Y05M18D14H14m,close,5/18/2021 14:14,2021,5,18,14,14,tue,A00000
A00000_close_2021Y05M18D18H15m,close,5/18/2021 18:15,2021,5,18,18,15,tue,A00000
A00000_close_2021Y05M20D14H51m,close,5/20/2021 14:51,2021,5,20,14,51,thu,A00000
A00000_close_2021Y05M20D19H37m,close,5/20/2021 19:37,2021,5,20,19,37,thu,A00000
A00000_close_2021Y06M01D18H36m,close,6/1/2021 18:36,2021,6,1,18,36,tue,A00000
A00000_close_2021Y06M15D18H42m,close,6/15/2021 18:42,2021,6,15,18,42,tue,A00000
A00000_close_2021Y06M28D17H49m,close,6/28/2021 17:49,2021,6,28,17,49,mon,A00000
A00000_close_2021Y07M05D18H46m,close,7/5/2021 18:46,2021,7,5,18,46,mon,A00000
A00000_close_2021Y07M12D19H10m,close,7/12/2021 19:10,2021,7,12,19,10,mon,A00000
A00000_open_2021Y05M11D14H35m,open,5/11/2021 14:35,2021,5,11,14,35,tue,A00000
A00000_open_2021Y05M13D11H00m,open,5/13/2021 11:00,2021,5,13,11,0,thu,A00000
A00000_open_2021Y05M13D14H44m,open,5/13/2021 14:44,2021,5,13,14,44,thu,A00000
A00000_open_2021Y05M13D18H23m,open,5/13/2021 18:23,2021,5,13,18,23,thu,A00000
A00000_open_2021Y05M14D14H17m,open,5/14/2021 14:17,2021,5,14,14,17,fri,A00000
A00000_open_2021Y05M14D18H26m,open,5/14/2021 18:26,2021,5,14,18,26,fri,A00000
A00000_open_2021Y05M17D14H51m,open,5/17/2021 14:51,2021,5,17,14,51,mon,A00000
A00000_open_2021Y05M18D14H15m,open,5/18/2021 14:15,2021,5,18,14,15,tue,A00000
A00000_open_2021Y05M18D18H17m,open,5/18/2021 18:17,2021,5,18,18,17,tue,A00000
A00000_open_2021Y05M20D14H52m,open,5/20/2021 14:52,2021,5,20,14,52,thu,A00000
A00000_open_2021Y05M20D19H39m,open,5/20/2021 19:39,2021,5,20,19,39,thu,A00000
A00000_open_2021Y06M01D18H34m,open,6/1/2021 18:34,2021,6,1,18,34,tue,A00000
A00000_open_2021Y06M15D18H44m,open,6/15/2021 18:44,2021,6,15,18,44,tue,A00000
A00000_open_2021Y06M28D17H48m,open,6/28/2021 17:48,2021,6,28,17,48,mon,A00000
A00000_open_2021Y07M05D18H44m,open,7/5/2021 18:44,2021,7,5,18,44,mon,A00000
A00000_open_2021Y07M12D19H09m,open,7/12/2021 19:09,2021,7,12,19,9,mon,A00000
A00001_close_2021Y04M26D14H49m,close,4/26/2021 14:49,2021,4,26,14,49,mon,A00001
A00001_close_2021Y04M26D18H13m,close,4/26/2021 18:13,2021,4,26,18,13,mon,A00001
A00001_close_2021Y04M27D14H34m,close,4/27/2021 14:34,2021,4,27,14,34,tue,A00001
A00001_close_2021Y04M27D18H22m,close,4/27/2021 18:22,2021,4,27,18,22,tue,A00001
