,XY,onlyX,onlyY
2,201888401.60518438,58128532.90942922,109786122.40209737
3,176447290.36479938,46905191.27246492,87552140.15112263
4,156108955.3966816,41824277.11590229,76956880.39053383
5,145402572.2602003,39268103.6473904,69954919.46531197
6,137809212.86314872,37518518.829174705,65561378.63507571
7,131696297.04451306,36488328.46088217,62605680.28624454
8,125091853.17870617,35600993.72091021,60678686.999125175
9,122618848.21634844,34803150.14750182,59387440.55302054
10,117712238.73248063,34207547.70386345,57126466.31973242
11,115212869.9693628,33833561.55041928,55818783.11131864
12,111200704.2499567,33296224.495822392,54144265.743994124
13,110685416.05365619,32941665.138137434,52439608.38535321
14,108169818.42872885,32171337.841441385,51396065.52631801
15,106656329.15286502,31908568.745055817,50081877.95024446
16,105282441.51078087,31769760.765235994,48948013.93347918
17,101844822.34447111,31178603.980964284,48679235.16232859
18,102160651.9819235,30697848.29487903,47772686.06613887
19,99670400.13397549,30450706.940564144,46950990.097507074
20,97641601.18289855,29621268.788583543,46680084.321825124
