id_index,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A00000_close_2021Y05M11D14H37m,0,1,1,4,2,0,1,6,9,2,5,10,8,4,7,9,17,14,4
A00000_close_2021Y05M13D11H01m,0,2,1,3,0,6,4,3,3,7,1,4,8,9,10,6,16,10,10
A00000_close_2021Y05M13D14H45m,0,1,1,4,2,0,0,5,3,2,8,1,8,4,7,6,8,14,5
A00000_close_2021Y05M13D18H24m,1,1,3,4,2,2,1,6,9,4,5,2,5,0,2,1,1,17,6
A00000_close_2021Y05M14D14H15m,1,1,3,0,3,4,7,1,5,4,0,3,1,2,15,10,9,7,0
A00000_close_2021Y05M14D18H24m,1,0,0,1,5,1,3,2,6,8,4,6,3,3,6,3,0,5,2
A00000_close_2021Y05M17D14H52m,1,1,3,0,3,4,7,1,1,4,0,3,11,0,15,10,9,7,19
A00000_close_2021Y05M18D14H14m,1,0,0,1,1,5,2,2,0,6,3,9,10,8,11,5,15,5,15
A00000_close_2021Y05M18D18H15m,1,1,3,0,3,4,7,1,4,4,0,2,1,2,15,10,9,7,0
A00000_close_2021Y05M20D14H51m,0,2,1,3,0,6,4,3,3,3,11,4,9,14,13,4,14,13,10
A00000_close_2021Y05M20D19H37m,0,2,1,3,0,6,4,3,3,3,1,4,8,11,10,6,16,10,10
A00000_close_2021Y06M01D18H36m,0,2,1,3,0,6,0,5,3,7,8,4,0,11,10,6,16,10,10
A00000_close_2021Y06M15D18H42m,0,2,2,3,0,6,4,8,7,3,11,8,9,14,1,4,7,1,9
A00000_close_2021Y06M28D17H49m,0,2,1,3,0,6,4,3,3,3,11,4,9,14,13,14,5,13,10
A00000_close_2021Y07M05D18H46m,0,2,2,2,4,3,6,8,7,5,2,12,12,7,14,2,7,16,17
A00000_close_2021Y07M12D19H10m,1,1,3,0,3,4,7,1,1,4,0,3,11,0,15,10,9,7,0
A00000_open_2021Y05M11D14H35m,1,1,3,0,2,4,1,6,4,4,0,2,2,0,15,9,9,7,6
A00000_open_2021Y05M13D11H00m,1,1,3,4,2,2,1,6,4,4,5,2,2,2,15,9,9,4,6
A00000_open_2021Y05M13D14H44m,1,0,3,0,3,4,7,1,5,10,10,3,1,6,9,7,4,0,12
A00000_open_2021Y05M13D18H23m,0,2,1,3,0,6,4,3,3,3,11,4,8,9,10,14,14,13,10
A00000_open_2021Y05M14D14H17m,1,0,0,1,5,1,3,7,6,9,4,6,4,3,6,3,0,11,13
A00000_open_2021Y05M14D18H26m,1,1,3,0,3,4,7,1,5,4,0,3,1,2,15,10,9,7,0
