,XY,onlyX,onlyY
2,96131101.00874607,33206866.570019387,60162791.35912756
3,91693861.57680163,31617140.045078065,55638711.17599176
4,88489133.9002058,30632213.14517343,52653886.01370448
5,85425710.00499421,29729079.536462814,49889356.73421371
6,83840264.61675204,29595426.883476604,47459812.40333647
7,82269331.99329221,28652162.74649666,45798838.07114189
8,79807679.84093624,28311966.208042145,44284637.22643876
9,78896812.9301877,27892267.736393217,43295024.703213446
10,77972509.6841444,27762309.849226676,42142345.88830258
11,77642411.51712143,27022510.893724985,41356201.90271641
12,75619941.48607136,26611026.09374208,40568311.14339546
13,75017529.89620988,26258009.260327604,39523160.8657953
14,73793144.81587274,26043582.043591246,38806408.841592014
15,72946040.79337241,25776490.516045585,38265607.9355977
16,71566090.3892315,25543951.209296055,37985396.94533582
17,71982277.40339859,25292483.606795084,37310208.73593286
18,70035844.16145243,25445872.36893329,37186886.216719605
19,70021862.96652508,24551900.78122757,36887055.35216222
20,69210910.59151301,24538881.768739324,35886990.47946312
