id_index,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A00000_close_2021Y05M11D14H37m,0,1,0,1,2,6,5,4,5,5,11,10,3,3,12,15,3,13,14
A00000_close_2021Y05M13D11H01m,0,1,0,1,2,6,5,0,4,7,4,1,1,13,3,6,13,2,4
A00000_close_2021Y05M13D14H45m,0,1,0,1,2,6,0,7,1,3,11,10,12,3,3,6,4,2,14
A00000_close_2021Y05M13D18H24m,0,1,0,1,2,6,0,7,1,3,11,10,12,3,12,15,4,13,14
A00000_close_2021Y05M14D14H15m,0,1,0,1,2,6,5,0,4,7,4,1,1,13,2,3,13,10,4
A00000_close_2021Y05M14D18H24m,0,1,0,1,2,1,0,7,1,3,3,6,12,8,13,8,0,14,13
A00000_close_2021Y05M17D14H52m,1,0,1,4,1,2,2,5,0,4,7,4,6,11,8,12,8,7,17
A00000_close_2021Y05M18D14H14m,0,1,2,1,1,1,3,3,5,5,9,5,2,1,12,0,3,1,16
A00000_close_2021Y05M18D18H15m,0,1,0,1,2,6,0,7,1,3,3,6,7,8,13,4,4,2,13
A00000_close_2021Y05M20D14H51m,0,1,0,1,2,6,0,7,1,3,11,10,12,3,12,15,4,13,14
A00000_close_2021Y05M20D19H37m,0,1,0,1,2,6,5,4,5,5,11,10,1,13,5,6,13,0,4
A00000_close_2021Y06M01D18H36m,0,1,0,1,2,6,0,7,1,3,3,6,7,8,13,4,4,18,8
A00000_close_2021Y06M15D18H42m,1,0,2,4,1,2,2,5,6,4,8,3,6,11,0,12,17,7,17
A00000_close_2021Y06M28D17H49m,1,0,2,4,1,2,2,5,0,4,8,3,6,11,8,12,8,7,17
A00000_close_2021Y07M05D18H46m,0,2,3,2,3,2,2,4,0,1,1,2,6,7,5,14,2,8,10
A00000_close_2021Y07M12D19H10m,1,0,2,4,1,2,2,5,6,4,8,3,2,11,0,12,17,7,17
A00000_open_2021Y05M11D14H35m,0,1,0,1,2,6,5,0,4,7,11,10,1,13,3,6,13,2,4
A00000_open_2021Y05M13D11H00m,0,1,0,1,2,6,5,0,4,7,4,1,1,13,2,3,13,10,4
A00000_open_2021Y05M13D14H44m,0,1,0,1,2,6,0,7,1,3,11,10,1,3,3,6,4,2,14
A00000_open_2021Y05M13D18H23m,0,1,0,1,2,6,0,7,1,3,11,10,12,3,12,15,4,13,14
A00000_open_2021Y05M14D14H17m,0,1,0,3,2,3,5,0,4,7,4,1,1,13,2,16,13,10,4
