,XY,onlyX,onlyY
2,92982821.30173501,32840126.037280224,57384413.320143305
3,88670981.56934741,31262173.355439186,53027042.45916234
4,85513493.85877445,30273447.648947664,49971142.798426315
5,82824937.04471596,29326107.213933058,47923024.60066815
6,81836297.19389795,28972953.171223998,45975894.25492968
7,80381374.2444612,28548246.76447502,44307813.240969285
8,78249375.2980299,28082395.418102164,42643010.0116179
9,77302880.32861635,27617894.131629393,42041249.88438512
10,76006091.11821708,26943660.065366894,41037639.24753065
11,75507445.915793,26848591.49006502,40189606.18626548
12,73605114.0262603,26451301.837977737,39594844.77508379
13,73640700.89016882,26195952.183512542,39533996.951262556
14,72541852.23896493,25770401.03056342,38664658.01420671
15,71621628.96431154,25381245.930268496,37277779.99950414
16,71182216.05436078,25202074.807943672,37040020.239383794
17,70547359.62062526,24914935.063071545,36611413.86389383
18,69317083.28279743,24658681.9316959,35891705.73138985
19,68765949.68600689,24551266.126757096,35199280.438737154
20,67967956.35837868,24017031.56994485,34924518.53757372
