id_index,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A00000_close_2021Y05M11D14H37m,1,1,1,3,3,1,4,2,1,0,11,10,2,4,1,3,5,14,4
A00000_close_2021Y05M13D11H01m,0,2,0,2,1,2,3,4,7,4,7,1,8,11,11,14,8,18,14
A00000_close_2021Y05M13D14H45m,0,2,0,2,1,2,3,4,7,4,7,5,8,9,11,14,8,4,14
A00000_close_2021Y05M13D18H24m,0,0,0,1,1,3,1,5,7,6,0,1,8,11,11,14,0,5,1
A00000_close_2021Y05M14D14H15m,0,2,0,2,1,0,3,4,7,2,7,5,8,11,6,6,7,5,9
A00000_close_2021Y05M14D18H24m,1,1,2,4,5,5,6,3,8,3,2,10,11,6,4,2,1,12,12
A00000_close_2021Y05M17D14H52m,0,0,0,1,1,3,1,5,7,6,3,1,1,11,6,13,8,5,0
A00000_close_2021Y05M18D14H14m,0,0,2,0,5,2,0,7,5,4,4,1,8,3,10,4,7,18,18
A00000_close_2021Y05M18D18H15m,0,2,3,2,2,0,5,6,5,4,7,8,10,5,12,6,14,7,5
A00000_close_2021Y05M20D14H51m,1,0,2,1,5,3,0,2,4,1,4,10,3,3,15,14,16,14,13
A00000_close_2021Y05M20D19H37m,0,0,0,1,1,3,0,5,4,6,3,10,3,3,11,14,8,1,13
A00000_close_2021Y06M01D18H36m,0,0,0,1,1,2,1,5,7,6,0,1,8,3,11,13,8,1,13
A00000_close_2021Y06M15D18H42m,0,2,0,2,1,0,3,4,0,2,9,11,10,14,2,10,3,2,2
A00000_close_2021Y06M28D17H49m,0,0,0,1,1,3,1,5,6,6,0,1,8,11,6,6,0,5,1
A00000_close_2021Y07M05D18H46m,0,2,0,2,1,2,3,4,7,2,10,9,8,0,9,14,6,0,17
A00000_close_2021Y07M12D19H10m,0,2,0,2,1,2,3,4,7,4,0,9,4,0,11,14,7,5,14
A00000_open_2021Y05M11D14H35m,0,0,0,1,1,3,1,5,6,6,0,1,1,1,6,13,0,14,1
A00000_open_2021Y05M13D11H00m,0,0,0,1,1,3,1,5,6,6,3,1,8,11,6,13,0,1,13
A00000_open_2021Y05M13D14H44m,0,0,0,1,1,2,0,4,7,1,3,1,8,3,11,14,8,18,14
A00000_open_2021Y05M13D18H23m,0,0,2,1,5,3,1,2,4,6,3,1,5,3,15,13,16,1,0
A00000_open_2021Y05M14D14H17m,0,0,0,1,1,3,1,5,6,6,0,1,3,1,6,13,0,1,1
A00000_open_2021Y05M14D18H26m,0,2,0,2,1,2,3,4,7,2,0,9,4,0,0,6,7,5,14
A00000_open_2021Y05M17D14H51m,0,0,2,0,5,0,7,7,5,7,3,5,6,5,6,1,8,7,16
A00000_open_2021Y05M18D14H15m,1,0,0,1,3,3,1,2,6,6,3,1,5,1,6,13,4,14,4
A00000_open_2021Y05M18D18H17m,0,2,3,0,2,0,5,7,5,7,8,2,6,8,12,5,9,15,7
A00000_open_2021Y05M20D14H52m,0,0,2,0,5,4,7,7,5,10,4,6,6,12,10,4,7,8,18
A00000_open_2021Y05M20D19H39m,0,2,0,2,1,0,3,5,7,2,0,1,8,11,6,6,0,5,1
A00000_open_2021Y06M01D18H34m,1,0,2,1,5,4,0,0,4,1,2,7,7,3,15,3,16,13,15
A00000_open_2021Y06M15D18H44m,0,2,0,2,1,0,3,6,0,2,9,8,10,14,0,6,3,2,5
A00000_open_2021Y06M28D17H48m,0,2,3,2,2,0,5,6,2,7,8,5,6,8,12,16,9,7,7
A00000_open_2021Y07M05D18H44m,0,0,0,1,1,3,3,2,7,6,3,1,8,11,6,14,8,7,0
A00000_open_2021Y07M12D19H09m,1,0,2,1,5,3,1,2,4,6,3,10,5,1,15,3,4,14,4
A00001_close_2021Y04M26D14H49m,0,2,0,2,1,0,3,4,7,2,7,5,8,11,11,6,8,5,14
A00001_close_2021Y04M26D18H13m,0,2,0,2,1,0,5,7,5,7,7,5,6,11,6,6,7,5,1
A00001_close_2021Y04M27D14H34m,0,2,3,2,2,0,5,6,5,7,7,5,10,5,12,16,7,4,9
A00001_close_2021Y04M27D18H22m,0,0,0,1,1,3,1,5,6,6,3,1,5,1,15,13,4,14,4
A00001_close_2021Y05M06D19H00m,0,0,0,1,1,3,1,5,6,6,0,1,8,11,6,13,0,5,1
A00001_close_2021Y05M11D14H40m,0,2,0,2,1,0,3,4,5,4,7,5,4,11,11,6,7,5,14
A00001_close_2021Y05M11D18H49m,1,0,2,0,5,4,7,2,3,10,4,6,12,12,3,1,11,8,16
A00001_close_2021Y05M13D18H31m,1,0,2,1,5,3,0,0,4,1,2,10,3,3,10,4,16,1,13
A00001_close_2021Y05M17D14H48m,0,2,0,2,1,0,3,6,0,2,9,11,10,14,2,6,3,2,2
A00001_close_2021Y05M18D14H28m,0,2,3,2,2,0,3,6,0,2,9,8,10,14,0,6,3,2,2
A00001_close_2021Y06M01D18H25m,0,0,2,0,5,4,7,7,5,10,4,6,7,12,10,1,11,8,18
A00001_close_2021Y06M15D18H30m,0,0,2,0,5,4,7,7,3,10,4,6,5,12,10,1,11,8,16
A00001_close_2021Y06M28D17H38m,1,0,1,3,3,3,4,1,1,0,11,11,3,1,15,3,5,14,4
A00001_close_2021Y07M05D18H48m,0,0,0,1,3,3,1,5,6,6,0,11,8,1,2,13,0,14,4
A00001_close_2021Y07M12D18H58m,0,0,2,0,5,4,0,7,5,1,4,7,7,12,10,4,8,18,18
A00001_close_2021Y07M19D18H03m,0,0,0,1,1,2,1,4,5,4,7,1,8,11,11,4,7,18,9
A00001_open_2021Y04M26D14H50m,0,2,3,2,2,0,5,6,5,7,7,5,6,5,12,16,7,7,9
A00001_open_2021Y04M26D18H14m,0,2,0,2,1,0,3,6,5,2,7,5,10,11,6,6,0,5,1
A00001_open_2021Y04M27D14H33m,0,2,3,2,2,0,5,6,5,7,7,8,10,5,12,6,3,7,5
A00001_open_2021Y04M27D18H20m,1,1,1,3,3,1,4,1,1,0,11,11,0,4,14,0,15,3,19
A00001_open_2021Y05M06D19H01m,0,0,0,1,1,3,1,5,6,6,3,1,5,1,6,13,0,14,1
A00001_open_2021Y05M11D14H38m,0,2,3,2,2,0,5,7,5,7,7,5,6,5,12,16,7,7,9
A00001_open_2021Y05M11D18H47m,0,0,0,1,3,3,1,5,6,6,3,1,5,1,6,13,4,14,4
A00001_open_2021Y05M13D18H30m,0,0,2,0,5,3,1,7,5,6,3,1,5,11,6,13,0,5,1
A00001_open_2021Y05M17D14H47m,1,0,2,1,5,3,0,2,4,1,3,10,5,3,15,3,8,14,0
A00001_open_2021Y05M18D14H30m,0,2,0,2,1,0,3,6,0,2,9,9,10,14,2,10,3,2,2
A00001_open_2021Y06M01D18H23m,0,0,0,1,1,3,1,5,6,6,0,1,8,11,6,6,0,5,1
A00001_open_2021Y06M15D18H31m,0,2,3,2,2,0,5,7,5,7,7,5,6,5,12,16,7,7,9
A00001_open_2021Y06M28D17H37m,0,0,0,1,1,2,1,5,6,6,0,1,8,11,11,4,0,5,1
A00001_open_2021Y07M05D18H47m,0,0,0,1,1,3,1,5,6,6,3,1,8,11,6,13,0,1,13
A00001_open_2021Y07M12D18H56m,1,1,1,3,3,1,4,1,1,0,11,4,2,4,4,8,5,9,4
A00001_open_2021Y07M19D18H01m,1,1,1,4,0,1,0,0,8,1,2,7,7,2,13,7,10,13,15
A00002_close_2021Y05M06D19H10m,0,0,0,1,1,3,1,5,6,6,3,1,8,11,6,13,0,5,1
