,x_count,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,x_median,x_variance,x_covariance,x_kurtosis,x_skewness,y_count,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,y_median,y_variance,y_covariance,y_kurtosis,y_skewness
A00000_close_2021Y05M11D14H37m,6000.0,-1.2258666666666662,7.538506337391547,-23.5,-5.9,-1.2,4.4,17.4,-1.2,56.829077798892406,9.961556917263987,-0.20578728836519877,-0.21519605900289404,6000.0,-9.91130833333333,7.9044192640026845,-33.8,-15.4,-7.8,-4.0,4.3,-7.8,62.47984390113631,9.961556917263987,0.1592651847395823,-0.7773304432610241
A00000_close_2021Y05M13D11H01m,6000.0,-5.4667000000000066,5.095343285510774,-27.6,-8.2,-5.2,-1.9,6.9,-5.2,25.962523197199523,6.089610168546604,1.879900464645626,-0.7414546704019214,6000.0,-0.5735500000000017,5.536210610885439,-12.8,-5.4,-0.07499999999999996,3.4,15.1,-0.07499999999999996,30.649627928080587,6.089610168546604,-0.7315042971232062,0.0649682042447246
A00000_close_2021Y05M13D14H45m,6000.0,2.8384250000000018,5.869868485104013,-19.5,-1.2,2.6,6.6,18.9,2.6,34.45535603241744,-1.9997881170935914,0.7690553197131123,-0.12464850123984914,6000.0,-3.921266666666664,6.599926035743131,-22.5,-8.5,-4.5,0.3,12.6,-4.5,43.55902367727955,-1.9997881170935914,-0.09414342180502677,0.07475783441462593
A00000_close_2021Y05M13D18H24m,6000.0,4.979233333333327,4.403822687919776,-6.7,2.3,4.7,7.5,18.8,4.7,19.393654266637032,3.334712220277454,0.4469488183609731,0.421192581459903,6000.0,-9.108225000000033,4.948031933013096,-25.9,-11.7,-8.3,-5.9,-0.0999999999999999,-8.3,24.483020010117432,3.334712220277454,0.6940421410794428,-0.8067103643204371
A00000_close_2021Y05M14D14H15m,6000.0,-11.565391666666644,5.28198527146742,-27.1,-14.7,-11.7,-7.4,0.9,-11.7,27.899368407998566,5.099869690503971,-0.2786400791571455,-0.2551814613831925,6000.0,-3.5362666666666622,5.551782606566451,-21.0,-6.5,-3.1,0.0,11.0,-3.1,30.82229011057399,5.099869690503971,0.48825978105770895,-0.40727918211528763
A00000_close_2021Y05M14D18H24m,6000.0,12.133758333333331,6.232016113378026,-3.8,7.9,11.9,17.1,27.3,11.9,38.83802483740347,-14.732588757848534,-0.3295723480531847,-0.0009904053979201129,6000.0,-8.475833333333306,8.615191643838545,-38.0,-12.5,-6.0,-2.3,5.1,-6.0,74.22152706006558,-14.732588757848534,0.4964265858723018,-1.026250644939931
A00000_close_2021Y05M17D14H52m,6000.0,-2.583299999999995,6.62122885817295,-24.5,-5.6,-2.3,1.4,13.4,-2.3,43.84067159230243,0.11009958715341361,0.9636081909332481,-0.595617536544809,6000.0,-29.091283333333198,5.894602088271583,-47.8,-32.9,-29.0,-25.7,-11.3,-29.0,34.746333779055746,0.11009958715341361,0.6546728344456048,-0.09412673794530002
A00000_close_2021Y05M18D14H14m,6000.0,3.3305583333333337,8.855028635643388,-18.0,-3.8124999999999973,2.4,10.6,22.2,2.4,78.4115321380647,18.338771554078452,-0.909991916381037,0.07355638730680096,6000.0,-16.624841666666736,8.0625058192882,-36.8,-22.9,-17.6,-9.9,1.7,-17.6,65.00400008605598,18.338771554078452,-0.6633010394688332,0.22777991762044036
A00000_close_2021Y05M18D18H15m,6000.0,7.131233333333345,6.733523175086634,-8.4,3.0,6.8,11.2,27.0,6.8,45.340334349428595,6.8748785276249675,0.014808822407717859,0.24449353755741554,6000.0,-0.002058333333340071,10.631449025913122,-29.6,-6.500000000000027,-0.4,5.8,39.0,-0.4,113.0277083905882,6.8748785276249675,1.4509354511699408,0.46275015744676
A00000_close_2021Y05M20D14H51m,6000.0,4.538566666666681,5.77216121772823,-13.6,0.3,4.5,7.6,29.3,4.5,33.31784512344651,-22.372979313126258,1.5781227341248991,0.524845157014892,6000.0,-8.980091666666675,7.2341813320923976,-31.6,-14.724999999999998,-9.1,-3.5,6.8,-9.1,52.33337954559558,-22.372979313126258,-0.26918738826708566,-0.09756420381905043
A00000_close_2021Y05M20D19H37m,6000.0,-5.887524999999992,6.252231953109063,-28.2,-9.9,-6.1,-1.3,8.9,-6.1,39.09040439547795,12.212023149460094,0.2712075595973089,-0.20838326949647662,6000.0,-9.653250000000014,6.882482967073639,-24.1,-13.9,-9.4,-5.7,12.2,-9.4,47.368571792057935,12.212023149460094,0.25666481627940696,0.23662062345093662
A00000_close_2021Y06M01D18H36m,6000.0,7.694349999999974,5.690172105241136,-2.9,3.0,7.5,10.8,24.3,7.5,32.378058587264555,1.8805192232038657,-0.27244006653878294,0.5200017173635407,6000.0,1.3187999999999984,4.395533150667065,-11.4,-1.2,1.4,3.5,13.7,1.4,19.320711678613105,1.8805192232038657,0.6000757888448471,0.09274709654442777
A00000_close_2021Y06M15D18H42m,6000.0,0.392650000000006,9.969196142067592,-32.3,-7.499999999999987,0.4,8.4,24.2,0.4,99.3848717190166,26.393704117121366,-0.6436525371745474,0.033218529769378266,6000.0,-25.231541666666658,8.808271691819455,-56.2,-29.7,-24.3,-20.1,2.3,-24.3,77.58565019690784,26.393704117121366,1.70826112637321,-0.6161449035813312
A00000_close_2021Y06M28D17H49m,6000.0,-1.701225,3.2870078458577603,-12.2,-3.6,-1.8,0.0,10.8,-1.8,10.804420578730717,2.9880262390491015,0.9083290763403693,0.1579344864247104,6000.0,-27.468183333333357,3.7693541618489275,-40.3,-29.8,-27.2,-24.9,-17.7,-27.2,14.208030797447725,2.9880262390491015,0.11585999133685299,-0.36105791768163126
